time,text,location,userid,screenname
2019-04-07 08:09:11,b'@SushantBSinha That BJP should sweep UP LS seats.\nMain thing is heavy police checking required to curtail the movement of money &amp; liquor.  No relaxing here. Then only free &amp; fair polls happen.\n\n#IPL2019\n#Modi\n#ModiLaoDeshBanao',India,55886888,vrprasad12
2019-04-07 08:07:59,b'#Mamata aiding those who want two PMs in India: #Modi \n\n#LokSabhaElections2019 \n\nhttps://t.co/fY9tDz5qFk',India,777927231658004480,thenglishpost
2019-04-07 08:01:00,"b""The Wire: Under #Modi Govt, a Two-Pronged Attack on India's #Democracy.\nhttps://t.co/JBvqmAEvrx\n\nvia @GoogleNews""","Bharuch, India",818754781636423680,INCbharuch
2019-04-07 08:00:34,"b'Jay Javan, Jay BJP\xf0\x9f\x98\x98\xf0\x9f\x98\x8d\nOnes more agin #Modi #sir\n@narendramodi @BJP4India @arunjaitley @jagrutindia @bjpdilippatel @ishakonnects @CHOWKI @chauhal https://t.co/948ZwU4DDk'",,1496458686,dkpatel299
2019-04-07 08:00:23,"b'#Trump says #Modi a friend, then mocks him, derides him and says ""Where does he come from""?\n\nFor you Sir ji @narendramodi @PMOIndia #USA does Not think it\'s good to deal with #ChorChowkidar #ChorChowkidar #ChorChowkidar #ChorChowkidar #ChorChowkidar #ChorChowkidar #ChorChowkidar https://t.co/h1xjOlXCQl'",India,2854003320,ScoopGuruNews
2019-04-07 07:59:21,"b'If #Modi would see the crowd gathered here, he would have lost his sanity: BSP Supremo #Mayawati while addressing joint rally of SP-BSP-RLD in #Deoband, #UttarPradesh \n\nhttps://t.co/DklVA2kRqn https://t.co/8BCDgoc9Hh'",India,39240673,abpnewstv
2019-04-07 07:54:11,"b'""#Modi has made the task of rebuilding #AP all the more difficult.\n#AmmoJagan\n#BabuAgain""'","Vijayawada, India",1113681212499996672,PAVAN94926125
2019-04-07 07:52:37,"b'""#Modi and #Jagan trying to destroy #AndhraPradesh.Vote for @ncbn.\n#AmmoJagan\n#BabuAgain""'","Vijayawada, India",1113681212499996672,PAVAN94926125
2019-04-07 07:51:47,"b'600 artists signed a joint petition in their appeal to vote against #Modi\n\nhttps://t.co/1KrMthdn5X\n\nSince it contained many renowned artists like #NaseeruddinShah, @anuragkashyap72 , #RatnapathakShah, etc... I decided to give it a read...'",@India,363616859,vandit25
2019-04-07 07:51:16,"b'500 crore rupees cash sized across India, is black money back in electio... https://t.co/EGnw7AuWnS via @YouTube....Whatever #Modi ji says, #DeMo has drastically failed....!!!'","Nasik, Maharashtra, India",74906650,choyyan
